1,1,0.0016638935108153079,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
341,2,0.56738768718802,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
342,1,0.5690515806988353,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
342,2,0.5690515806988353,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
343,1,0.5707154742096506,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
343,2,0.5707154742096506,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
344,1,0.5723793677204659,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
344,2,0.5723793677204659,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
345,1,0.5740432612312812,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
345,2,0.5740432612312812,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
346,1,0.5757071547420965,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
346,2,0.5757071547420965,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
347,1,0.5773710482529119,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
347,2,0.5773710482529119,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
348,1,0.5790349417637272,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
348,2,0.5790349417637272,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
349,1,0.5806988352745425,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
349,2,0.5806988352745425,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
350,1,0.5823627287853578,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
350,2,0.5823627287853578,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
351,1,0.5840266222961731,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
351,2,0.5840266222961731,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
352,1,0.5856905158069884,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
352,2,0.5856905158069884,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
353,1,0.5873544093178037,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
353,2,0.5873544093178037,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
354,1,0.589018302828619,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
354,2,0.589018302828619,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
355,1,0.5906821963394343,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
355,2,0.5906821963394343,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
356,1,0.5923460898502496,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
356,2,0.5923460898502496,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
357,1,0.5940099833610649,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
357,2,0.5940099833610649,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
358,1,0.5956738768718802,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
358,2,0.5956738768718802,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
359,1,0.5973377703826955,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
359,2,0.5973377703826955,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
360,1,0.5990016638935108,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
360,2,0.5990016638935108,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
361,1,0.6006655574043261,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
361,2,0.6006655574043261,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
362,1,0.6023294509151415,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
362,2,0.6023294509151415,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
363,1,0.6039933444259568,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
363,2,0.6039933444259568,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
364,1,0.6056572379367721,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
364,2,0.6056572379367721,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
365,1,0.6073211314475874,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
365,2,0.6073211314475874,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
366,1,0.6089850249584027,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
366,2,0.6089850249584027,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
367,1,0.610648918469218,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
367,2,0.610648918469218,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
368,1,0.6123128119800333,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
368,2,0.6123128119800333,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
369,1,0.6139767054908486,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
369,2,0.6139767054908486,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
370,1,0.6156405990016639,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
370,2,0.6156405990016639,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
371,1,0.6173044925124792,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
371,2,0.6173044925124792,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
372,1,0.6189683860232945,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
372,2,0.6189683860232945,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
373,1,0.6206322795341098,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
373,2,0.6206322795341098,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
374,1,0.6222961730449251,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
374,2,0.6222961730449251,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
375,1,0.6239600665557404,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs legal])
375,2,0.6239600665557404,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
376,1,0.6256239600665557,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
376,2,0.6256239600665557,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
377,1,0.627287853577371,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
377,2,0.627287853577371,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
378,1,0.6289517470881864,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
378,2,0.6289517470881864,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
379,1,0.6306156405990017,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
379,2,0.6306156405990017,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Just refugees, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
380,1,0.632279534109817,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
380,2,0.632279534109817,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
381,1,0.6339434276206323,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
381,2,0.6339434276206323,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
382,1,0.6356073211314476,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
382,2,0.6356073211314476,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
383,1,0.6372712146422629,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
383,2,0.6372712146422629,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
384,1,0.6389351081530782,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
384,2,0.6389351081530782,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs legal])
385,1,0.6405990016638935,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
385,2,0.6405990016638935,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
386,1,0.6422628951747088,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
386,2,0.6422628951747088,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
387,1,0.6439267886855241,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
387,2,0.6439267886855241,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
388,1,0.6455906821963394,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
388,2,0.6455906821963394,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
